web_scraper_order,web_scraper_start_url,product_link,product_link-href,pagination,pagination-href,item_name,item_brand,item_price,item_description,item_id,item_materials
1762303616-41,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,Darn ToughLight Hiker Quarter Lightweight Hiking Socks - Women's,https://www.rei.com/product/186442/darn-tough-light-hiker-quarter-lightweight-hiking-socks-womens,,,Darn Tough   Light Hiker Quarter Lightweight Hiking Socks - Women's,Darn Tough,$22.00,"Boasting smooth cuffs, a comfy fit and lightweight functionality, the women's Darn Tough Light Hiker Quarter Lightweight hiking socks are ready for both quick day hikes and multiday treks.",#186442,52% nylon/44% merino wool/4% Lycra spandex
1762303619-42,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,Darn ToughHiker Boot Sock Cushion Socks - Men's,https://www.rei.com/product/887221/darn-tough-hiker-boot-sock-cushion-socks-mens,,,Darn Tough   Hiker Boot Sock Cushion Socks - Men's,Darn Tough,$28.00,"With cushioning for the perfect amount of support and a smooth fit with no slipping, bunching, or blisters, the Darn Tough Hiker Boot Sock Cushion socks have earned a place in the hearts of hikers.",#887221,64% merino wool/33% nylon/3% Lycra spandex
1762303621-43,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-op650 Down Jacket - Women's,https://www.rei.com/product/221539/rei-co-op-650-down-jacket-womens,,,REI Co-op   650 Down Jacket - Women's,REI Co-op,$129.00,"Bundle up for chilly walks, crisp air and crunchy leaves in the REI Co-op women's 650 Down jacket. This everyday jacket boasts recycled materials to help you feel good in more ways than one.",#221539,Recycled ripstop nylon (bluesign approved)
1762303624-44,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,IcebreakerHike Cool-Lite 3/4 Crew Socks - Women's,https://www.rei.com/product/248337/icebreaker-hike-cool-lite-34-crew-socks-womens,,,Icebreaker   Hike Cool-Lite 3/4 Crew Socks - Women's,Icebreaker,$18.73,"Soft, durable and breathable, these 3/4-length Icebreaker crew socks are built for hiking in warm weather. They're ultralight and made with a merino wool blend.",#248337,41% nylon/28% merino wool/28% TENCEL/3% LYCRA spandex
1762303627-45,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opSahara T-Shirt - Women's,https://www.rei.com/product/227662/rei-co-op-sahara-t-shirt-womens,,,REI Co-op   Sahara T-Shirt - Women's,REI Co-op,$23.93,"We've remade one of our favorite hiking staples with partially recycled fabric. Designed for the trail, the women's REI Co-op Sahara T-shirt stretches, wicks sweat and shades you from the day's rays.",#227662,55% polyester/37% recycled polyester/8% spandex (bluesign approved)
1762303630-46,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opSahara Shade Hoodie - Men's,https://www.rei.com/product/185196/rei-co-op-sahara-shade-hoodie-mens,,,REI Co-op   Sahara Shade Hoodie - Men's,REI Co-op,$49.95,"This REI Co-op sun shirt is great for days spent on the trails or water. Its stretchy, technical knit wicks moisture and provides UPF 50+ sun protection. Pull up the hood for extra coverage.",#185196,92% polyester/8% spandex (bluesign approved)
1762303633-47,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,REI Co-opSahara Stretch Convertible Pants - Men's,https://www.rei.com/product/242911/rei-co-op-sahara-stretch-convertible-pants-mens,,,REI Co-op   Sahara Stretch Convertible Pants - Men's,REI Co-op,$49.83,"Inspired by our iconic hiking pants—but designed with extra stretch and a slimmer leg—the men's REI Co-op Sahara Stretch Convertible pants repel water, dry fast and zip off into shorts as needed.",#242911,88% nylon/12% spandex (bluesign approved)
1762303636-48,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,Darn ToughCritter Club Lightweight Micro Crew Socks - Women's,https://www.rei.com/product/205962/darn-tough-critter-club-lightweight-micro-crew-socks-womens,,,Darn Tough   Critter Club Lightweight Micro Crew Socks - Women's,Darn Tough,$25.00,"Lightly cushioned hiking socks with all the anti-funk qualities of merino wool, the women's Darn Tough Critter Club Lightweight Micro Crew socks give you freedom and flex to hike up any trail.",#205962,54% nylon/43% merino wool/3% Lycra spandex
1762303640-49,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Awomens-clothing,REI Co-opTrailmade Fleece Jacket - Women's,https://www.rei.com/product/217359/rei-co-op-trailmade-fleece-jacket-womens,,,REI Co-op   Trailmade Fleece Jacket - Women's,REI Co-op,$59.95,The camp-friendly REI Co-op Trailmade women's fleece jacket keeps you toasty on cold days and cozy beneath your shell jacket. This grab-and-go for warmth is made with 100% recycled polyester.,#217359,Recycled polyester fleece
1762303642-50,https://www.rei.com/s/hiking-gear-clothes-boots?ir=collection%3Ahiking-gear-clothes-boots&r=category%3Amens-clothing,Farm to FeetPinnacle Light Cushion Socks,https://www.rei.com/product/C01533/farm-to-feet-pinnacle-light-cushion-socks,,,Farm to Feet   Pinnacle Light Cushion Socks,Farm to Feet,$14.73,"From the peak to the pub, Farm to Feet Pinnacle socks will keep your feet comfortable. They have light cushioning in the soles.",#C01533,72% U.S. merino wool/26% U.S. nylon/2% U.S. LYCRA spandex
